,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resource Requirements Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUPPORT TABLE - DO NOT PRINT  - DO NOT DELETE!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SSI Update Step 1: Please download the PDC SSI latest file from the site link below and unzip it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New,salesforce,Salesforce,Software as a Service,Automation Tester/Selenium,,58-8-Consultant,1.00,,Normal,Test Lead/QA,Long Term,,,Client Delivery & Operations,,01 November 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR393989,R495538,,
,,,,New,salesforce,Salesforce,Software as a Service,,,56-8-Consultant,1.00,,Normal,Deployment Lead,Long Term,,,Client Delivery & Operations,,01 November 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR393990,R495539,,
,,,,New,salesforce,Salesforce,Software as a Service,,,32-11-Analyst,1.00,,Normal,Devops Engineer,Long Term,,,Client Delivery & Operations,,01 November 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR393991,R495540,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New,salesforce,Salesforce,Software as a Service,Strong scrum master and certified,,56-8-Consultant,1.00,,Normal,Scrum Master 1,Long Term,,,Client Delivery & Operations,,01 October 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR393992,R495541,,
,,,,New,salesforce,Salesforce,Software as a Service,Developer/Configurator/lightning,,52-9-Consultant,1.00,,Normal,Senior Developer,Long Term,,,Client Delivery & Operations,,01 October 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR393993,R495524,,
,,,,New,salesforce,Salesforce,Software as a Service,Developer/Configurator/lightning,,38-10-Analyst,1.00,,Normal,Developer 2 /UI,Long Term,,,Client Delivery & Operations,,01 October 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR393994,R495525,,
,,,,New,salesforce,Salesforce,Software as a Service,Developer/Configurator/lightning,,26-12-Associate,1.00,,Normal,Tester,Long Term,,,Client Delivery & Operations,,01 October 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR393995,R495526,,
,,,,New,salesforce,Salesforce,Software as a Service,UI with Lightning,,32-11-Analyst,1.00,,Normal,Developer 3,Long Term,,,Client Delivery & Operations,,01 October 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR393996,R495527,,
,,,,New,salesforce,Salesforce,Software as a Service,Testing,,12-26,1.00,,Normal,Tester,Long Term,,,Client Delivery & Operations,,01 October 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR393997,R495528,,
,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New,salesforce,Salesforce,Software as a Service,Developer/Configurator/lightning,,38-10-Analyst,1.00,,,Dev Lead,Long Term,,,Client Delivery & Operations,,01 November 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR393998,R495529,,
,,,,New,salesforce,Salesforce,Software as a Service,Developer/Configurator/lightning,,32-11-Analyst,1.00,,,Developer1,Long Term,,,Client Delivery & Operations,,01 November 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR393999,R495530,,
,,,,New,salesforce,Salesforce,Software as a Service,Developer/Configurator/lightning,,26-12-Associate,1.00,,,Developer2,Long Term,,,Client Delivery & Operations,,01 November 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR394000,R495531,,
,,,,New,salesforce,Salesforce,Software as a Service,UI with Lightning,,26-12-Associate,1.00,,,UI Developer,Long Term,,,Client Delivery & Operations,,01 November 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR394001,R495532,,
,,,,New,salesforce,Salesforce,Software as a Service,Testing,,12-26,1.00,,,Tester,Long Term,,,Client Delivery & Operations,,01 November 2018,31 October 2019,Manila,Manila,,,,,,Regular,,,UR394002,R495533,,
,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New,salesforce,Salesforce,Software as a Service,Developer/Configurator/lightning,,52-9-Consultant,1.00,,,Dev Lead,Long Term,,,Client Delivery & Operations,,01 January 2019,31 October 2019,Manila,Manila,,,,,,Regular,,,UR394003,R495514,,
,,,,New,salesforce,Salesforce,Software as a Service,Developer/Configurator/lightning,,38-10-Analyst,1.00,,,Developer1,Long Term,,,Client Delivery & Operations,,01 January 2019,31 October 2019,Manila,Manila,,,,,,Regular,,,UR394004,R495515,,
,,,,New,salesforce,Salesforce,Software as a Service,Developer/Configurator/lightning,,26-12-Associate,1.00,,,Developer2,Long Term,,,Client Delivery & Operations,,01 January 2019,31 October 2019,Manila,Manila,,,,,,Regular,,,UR394005,R495516,,
,,,,New,salesforce,Salesforce,Software as a Service,UI with Lightning,,32-11-Analyst,1.00,,,UI Developer,Long Term,,,Client Delivery & Operations,,01 January 2019,31 October 2019,Manila,Manila,,,,,,Regular,,,UR394006,R495517,,
,,,,New,salesforce,Salesforce,Software as a Service,Testing,,56-8-Consultant,0.50,,,scrum master2,Long Term,,,Client Delivery & Operations,,01 January 2019,31 October 2019,Manila,Manila,,,,,,Regular,,,UR394007,R495518,,
,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
